AVGDINNERPRICE,AVGLUNCHPRICE,City,City Id (Dim City),CITY_ID,City Name,DINNERRATING,FACT_ID,HAS_ONLINE_DELIVERY,HAS_TABLE_BOOKING,Hotel Id (Dm Hotel Tgt),HOTEL_ID,Hotel Name,LAT,LONG_FLD,LUNCHRATING,Number of Records,Speciality2 Id (Dm Speciality Tgt1),SPECIALITY2_ID,Speciality 1,Speciality 2,Speciality Id (Dm Speciality Tgt),SPECIALITY_ID,TOTALRATING,VOTES
2500,2500,Gion Shijo,CT60,CT60,Gion Shijo,3,460,Yes,No,HT310,HT310,Koudaijihashiba  ,35,136,4,1,S101,S101,Kyoto Cuisine,Tempura,SP241,SP241,4,29
5500,1500,Gion Shijo,CT60,CT60,Gion Shijo,3,461,Yes,Yes,HT314,HT314,Kuragarimasa  ,35,136,3,1,S52,S52,Dining bar,Japanese,SP191,SP191,3,6
5500,1250,Gion Shijo,CT60,CT60,Gion Shijo,3,462,Yes,No,HT335,HT335,Kyoukurozakura  ,35,136,3,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,3,21
5500,3500,Gion Shijo,CT60,CT60,Gion Shijo,3,463,Yes,No,HT342,HT342,Kyounosakanakatsugi  ,35,136,3,1,S17,S17,Kappo Japanese,Seafood,SP262,SP262,3,227
6500,3500,Gion Shijo,CT60,CT60,Gion Shijo,3,464,Yes,No,HT344,HT344,Kyouryourimaiko  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,3,439
5500,2500,Gion Shijo,CT60,CT60,Gion Shijo,2,465,Yes,Yes,HT354,HT354,Kyoutogionkawamuraryourihei  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,2,125
12500,5500,Gion Shijo,CT60,CT60,Gion Shijo,4,466,Yes,No,HT355,HT355,Kyoutogiontempurayasakaendou  ,35,136,4,1,S65,S65,Tempura,Kaiseki Japanese,SP264,SP264,4,30
3500,1500,Gion Shijo,CT60,CT60,Gion Shijo,3,467,Yes,No,HT361,HT361,Kyoutokimurayahonten  ,35,136,3,1,S31,S31,Izakaya,Sukiyaki,SP258,SP258,3,249
4500,1500,Gion Shijo,CT60,CT60,Gion Shijo,3,468,Yes,No,HT363,HT363,Kyoutomamehachi  ,35,136,3,1,S98,S98,Kyoto Cuisine,Tofu,SP241,SP241,3,6
12500,5500,Gion Shijo,CT60,CT60,Gion Shijo,3,469,Yes,Yes,HT376,HT376,Kyouya  ,35,136,4,1,S62,S62,Kaiseki Japanese,Angler,SP243,SP243,3,7
12500,3500,Gion Shijo,CT60,CT60,Gion Shijo,54,470,Yes,No,HT393,HT393,Manjirou  ,35,136,53,1,S64,S64,Kaiseki Japanese,Kyoto Cuisine,SP243,SP243,57,44
12500,1250,Gion Shijo,CT60,CT60,Gion Shijo,3,471,Yes,No,HT401,HT401,Matsuzakagyuuwattsuzakicchin  ,35,136,3,1,S97,S97,Steak,Sushi,SP221,SP221,3,35
25500,12500,Gion Shijo,CT60,CT60,Gion Shijo,3,472,Yes,Yes,HT412,HT412,Miyagawachousaka  ,35,136,3,1,S29,S29,Italian,French,SP183,SP183,3,111
5500,3500,Gion Shijo,CT60,CT60,Gion Shijo,55,473,Yes,No,HT424,HT424,Nagamegawapontochouhana,35,136,3,1,S98,S98,Kaiseki Japanese,Tofu,SP243,SP243,56,823
2500,3500,Gion Shijo,CT60,CT60,Gion Shijo,3,474,Yes,Yes,HT427,HT427,Nettaishokudou  ,35,136,4,1,S2,S2,Thailand cooking,Italian,SP250,SP250,3,49
4500,2500,Gion Shijo,CT60,CT60,Gion Shijo,3,475,Yes,No,HT433,HT433,Nikukappoubarugyugyu  ,35,136,3,1,S91,S91,Bar,Izakaya,SP218,SP218,3,145
35009,3700,Gion Shijo,CT60,CT60,Gion Shijo,3,476,Yes,No,HT439,HT439,Nonkitei  ,35,136,3,1,S53,S53,Kappo Japanese,Creative cuisine,SP262,SP262,3,334
1500,3500,Gion Shijo,CT60,CT60,Gion Shijo,3,477,Yes,Yes,HT446,HT446,ORENO PAN okumura  ,35,136,56,1,S14,S14,Bread,Cafe,SP248,SP248,56,294
4500,1250,Gion Shijo,CT60,CT60,Gion Shijo,3,478,Yes,Yes,HT475,HT475,Pontochounabariya  ,35,136,3,1,S55,S55,Italian,Wine bar,SP183,SP183,3,117
5500,1250,Gion Shijo,CT60,CT60,Gion Shijo,52,479,Yes,No,HT478,HT478,Purachinabifu  ,35,136,4,1,S42,S42,Teppanyaki,Steak,SP196,SP196,53,546
35009,3300,Gion Shijo,CT60,CT60,Gion Shijo,53,480,Yes,Yes,HT479,HT479,Puranchaken  ,35,136,3,1,S53,S53,Steak,Creative cuisine,SP221,SP221,53,11
4500,1500,Gion Shijo,CT60,CT60,Gion Shijo,5,481,Yes,No,HT483,HT483,RIGOLETTO SMOKE GRILL & BAR  ,35,136,51,1,S46,S46,Italian,Spain,SP183,SP183,52,37
6500,3300,Gion Shijo,CT60,CT60,Gion Shijo,3,482,Yes,Yes,HT484,HT484,Rakuchin  ,35,136,3,1,S52,S52,Kushi-age Fried Skewer,Japanese,SP207,SP207,3,5
17500,5500,Gion Shijo,CT60,CT60,Gion Shijo,4,483,Yes,No,HT500,HT500,Ristorante t.v.b  ,35,136,4,1,S55,S55,Italian,Wine bar,SP183,SP183,4,374
12500,4500,Gion Shijo,CT60,CT60,Gion Shijo,59,484,Yes,Yes,HT502,HT502,Risutoranteoraegion  ,35,136,3,1,S32,S32,Italian,Pasta,SP183,SP183,59,365
6500,1500,Gion Shijo,CT60,CT60,Gion Shijo,3,485,Yes,Yes,HT515,HT515,Ryuuan  ,35,136,3,1,S52,S52,Yakiniku BBQ Beef,Japanese,SP219,SP219,4,25
3500,1250,Gion Shijo,CT60,CT60,Gion Shijo,3,486,Yes,No,HT52,HT52,Bejitejiya  ,35,136,3,1,S95,S95,Yakiniku BBQ Beef,Korean cuisine,SP219,SP219,3,11
2500,3550,Gion Shijo,CT60,CT60,Gion Shijo,3,487,Yes,No,HT546,HT546,Sentojemusukurabu  ,35,136,3,1,S38,S38,Bar,Suppon Soft Shelled Turtle,SP218,SP218,3,88
35009,3700,Gion Shijo,CT60,CT60,Gion Shijo,3,488,Yes,No,HT55,HT55,Bistro SUMIRE Chinese   ,35,136,3,1,S66,S66,Chinese,Dim sum,SP193,SP193,3,38
5500,3550,Gion Shijo,CT60,CT60,Gion Shijo,3,489,Yes,Yes,HT550,HT550,Sherikurabu  ,35,136,3,1,S46,S46,Bar,Spain,SP218,SP218,3,300
5500,2500,Gion Shijo,CT60,CT60,Gion Shijo,4,490,Yes,No,HT553,HT553,Shikisaishiwori  ,35,136,3,1,S17,S17,Kyoto Cuisine,Seafood,SP241,SP241,4,334
4500,3700,Gion Shijo,CT60,CT60,Gion Shijo,3,491,Yes,No,HT56,HT56,Bisutoroemuiaru  ,35,136,3,1,S2,S2,Bistro,Italian,SP259,SP259,3,122
5500,3550,Gion Shijo,CT60,CT60,Gion Shijo,3,492,Yes,Yes,HT563,HT563,Shunkouhika  ,35,136,3,1,S64,S64,Kappo Japanese,Kyoto Cuisine,SP262,SP262,3,250
25500,6500,Gion Shijo,CT60,CT60,Gion Shijo,3,493,Yes,No,HT602,HT602,Sutekihanasato  ,35,136,3,1,S20,S20,Steak,Teppanyaki,SP221,SP221,3,123
3500,1250,Gion Shijo,CT60,CT60,Gion Shijo,3,494,Yes,Yes,HT604,HT604,THE AGLIO GARDEN  ,35,136,4,1,S53,S53,Dining bar,Creative cuisine,SP191,SP191,3,14
5500,1250,Gion Shijo,CT60,CT60,Gion Shijo,4,495,Yes,Yes,HT613,HT613,Takasegawa  ,35,136,3,1,S54,S54,Sumibiyaki,YakitoriGrilledChicken,SP256,SP256,4,314
5500,1500,Gion Shijo,CT60,CT60,Gion Shijo,58,496,Yes,No,HT64,HT64,CHULETA  ,35,136,3,1,S43,S43,Spain,Bar,SP220,SP220,58,247
