COMPANY_ID (Custom SQL Query5),COMPANY_ID,COMPANY_NAME,CPU,GPU,INCHES,MEMORY,Number of Records,OS_ID (Custom SQL Query4),OS_ID,OS_NAME,POPULARITY_NUMBER,PRICE_IN_EUROS,PRICE_IN_RUPEES,PRODUCT_ID (Custom SQL Query1),PRODUCT_ID,PRODUCT_NAME,RAM_ID (Custom SQL Query2),RAM_ID,RAM_NAME,RATINGS,SCREENRESOLUTION,TYPE_NAME,TYPE_NAME_ID (Custom SQL Query3),TYPE_NAME_ID,WEIGHT_IN_GM
CO14,CO14,Apple,Intel Core i5 3.1GHz,Intel Iris Plus Graphics 650,13,256GB SSD,1,OS3,OS3,macOS,2,1803.6,142899.23,PRO606,PRO606,MacBook Pro,RAM5,RAM5,8GB,1,IPS Panel Retina Display 2560x1600,Ultrabook,TYP6,TYP6,1370gms
CO14,CO14,Apple,Intel Core i5 3.1GHz,Intel Iris Plus Graphics 650,13,512GB SSD,1,OS3,OS3,macOS,1,2040,161629.2,PRO607,PRO607,MacBook Pro,RAM5,RAM5,8GB,3,IPS Panel Retina Display 2560x1600,Ultrabook,TYP6,TYP6,1370gms
CO14,CO14,Apple,Intel Core i5 1.8GHz,Intel HD Graphics 6000,13,128GB Flash Storage,1,OS3,OS3,macOS,3,898.94,71223.02,PRO612,PRO612,Macbook Air,RAM5,RAM5,8GB,5,1440x900,Ultrabook,TYP6,TYP6,1340gms
CO14,CO14,Apple,Intel Core i5 1.8GHz,Intel HD Graphics 6000,13,256GB Flash Storage,1,OS3,OS3,macOS,3,1158.7,91803.8,PRO613,PRO613,Macbook Air,RAM5,RAM5,8GB,4,1440x900,Ultrabook,TYP6,TYP6,1340gms
CO18,CO18,Dell,Intel Core i5 7Y54 1.2GHz,Intel HD Graphics 615,13,256GB SSD,1,OS4,OS4,Windows 10,3,1899,150457.77,PRO1079,PRO1079,XPS 13,RAM5,RAM5,8GB,3,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1240gms
CO18,CO18,Dell,Intel Core i5 7Y54 1.2GHz,Intel HD Graphics 615,13,256GB SSD,1,OS4,OS4,Windows 10,2,1813,143643.99,PRO1095,PRO1095,XPS 13,RAM5,RAM5,8GB,4,Quad HD+ / Touchscreen 3200x1800,2 in 1 Convertible,TYP1,TYP1,1240gms
CO18,CO18,Dell,Intel Core i7 7Y75 1.3GHz,Intel HD Graphics 615,13,512GB SSD,1,OS4,OS4,Windows 10,2,2013.1,159497.91,PRO1102,PRO1102,XPS 13,RAM5,RAM5,8GB,3,Quad HD+ / Touchscreen 3200x1800,2 in 1 Convertible,TYP1,TYP1,1240gms
CO16,CO16,Lenovo,Intel Core i5 7200U 2.5GHz,AMD Radeon R7 M460,16,256GB SSD,1,OS4,OS4,Windows 10,1,959,75981.57,PRO1117,PRO1117,Yoga 510-15IKB,RAM5,RAM5,8GB,5,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,2080gms
CO16,CO16,Lenovo,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,256GB SSD,1,OS4,OS4,Windows 10,2,899,71227.77,PRO1119,PRO1119,Yoga 520-14IKB,RAM5,RAM5,8GB,2,IPS Panel Full HD 1920x1080,2 in 1 Convertible,TYP1,TYP1,1740gms
CO16,CO16,Lenovo,Intel Core M m7-6Y75 1.2GHz,Intel HD Graphics 515,11,256GB SSD,1,OS4,OS4,Windows 10,3,1299,102919.77,PRO1120,PRO1120,Yoga 700-11ISK,RAM5,RAM5,8GB,2,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1100gms
